STATENAME	SURVYEAR	FIPST	TOTD9	AMD9M	AMD9F	AMD9	ASD9M	ASD9F	ASD9	HID9M	HID9F	HID9	BLD9M	BLD9F	BLD9	WHD9M	WHD9F	WHD9	TOTD10	AMD10M	AMD10F	AMD10	ASD10M	ASD10F	ASD10	HID10M	HID10F	HID10	BLD10M	BLD10F	BLD10	WHD10M	WHD10F	WHD10	TOTD11	AMD11M	AMD11F	AMD11	ASD11M	ASD11F	ASD11	HID11M	HID11F	HID11	BLD11M	BLD11F	BLD11	WHD11M	WHD11F	WHD11	TOTD12	AMD12M	AMD12F	AMD12	ASD12M	ASD12F	ASD12	HID12M	HID12F	HID12	BLD12M	BLD12F	BLD12	WHD12M	WHD12F	WHD12	TOTD912	TOTDAMM	TOTDAMF	TOTDAM	TOTDASM	TOTDASF	TOTDAS	TOTDHIM	TOTDHIF	TOTDHI	TOTDBLM	TOTDBLF	TOTDBL	TOTDWHM	TOTDWHF	TOTDWH	TOTDM	TOTDF	EBS9	EBSAM9M	EBSAM9F	EBSAM9	EBSAS9M	EBSAS9F	EBSAS9	EBSHI9M	EBSHI9F	EBSHI9	EBSBL9M	EBSBL9F	EBSBL9	EBSWH9M	EBSWH9F	EBSWH9	EBS10	EBSAM10M	EBSAM10F	EBSAM10	EBSAS10M	EBSAS10F	EBSAS10	EBSHI10M	EBSHI10F	EBSHI10	EBSBL10M	EBSBL10F	EBSBL10	EBSWH10M	EBSWH10F	EBSWH10	EBS11	EBSAM11M	EBSAM11F	EBSAM11	EBSAS11M	EBSAS11F	EBSAS11	EBSHI11M	EBSHI11F	EBSHI11	EBSBL11M	EBSBL11F	EBSBL11	EBSWH11M	EBSWH11F	EBSWH11	EBS12	EBSAM12M	EBSAM12F	EBSAM12	EBSAS12M	EBSAS12F	EBSAS12	EBSHI12M	EBSHI12F	EBSHI12	EBSBL12M	EBSBL12F	EBSBL12	EBSWH12M	EBSWH12F	EBSWH12	EBS912	EBSAMM	EBSAMF	EBSAM	EBSASM	EBSASF	EBSAS	EBSHIM	EBSHIF	EBSHI	EBSBLM	EBSBLF	EBSBL	EBSWHM	EBSWHF	EBSWH	EBSM	EBSF	DRP9	DRP10	DRP11	DRP12	DRP912	DRPAMM	DRPAMF	DRPAM	DRPASM	DRPASF	DRPAS	DRPHIM	DRPHIF	DRPHI	DRPBLM	DRPBLF	DRPBL	DRPWHM	DRPWHF	DRPWH	DRPM	DRPF	TOTDPL	AMDPL	ASDPL	HIDPL	BLDPL	WHDPL	AFGEB	AFGEBAM	AFGEBAS	AFGEBHI	AFGEBBL	AFGEBWH	AFGR	AFGRAM	AFGRAS	AFGRHI	AFGRBL	AFGRWH	TOTOHC	AMOHC	ASOHC	HIOHC	BLOHC	WHOHC	TOTEQUIV	AMEQUIV	ASEQUIV	HIEQUIV	BLEQUIV	WHEQUIV
Alabama	2006-07	01	1,216	3	0	3	3	0	3	13	14	27	345	170	515	424	230	654	1,409	7	3	10	3	3	6	19	12	31	401	238	639	434	272	706	1,256	0	3	3	3	0	3	20	13	33	290	215	505	380	309	689	1,097	3	0	3	0	3	3	11	8	19	240	196	436	338	277	615	4,978	13	6	19	9	6	15	63	47	110	1,276	819	2,095	1,576	1,088	2,664	2,937	1,966	64,168	285	303	588	333	334	667	838	743	1,581	12,480	11,545	24,025	19,092	17,381	36,473	55,227	257	255	512	288	281	569	622	553	1,175	9,668	10,107	19,775	16,584	15,862	32,446	49,175	222	258	480	278	288	566	435	440	875	7,904	8,767	16,671	14,934	14,957	29,891	43,985	198	174	372	231	228	459	361	350	711	6,831	8,008	14,839	13,554	13,455	27,009	212,555	962	990	1,952	1,130	1,131	2,261	2,256	2,086	4,342	36,883	38,427	75,310	64,164	61,655	125,819	105,395	104,289	1.9	2.6	2.6	2.5	2.3	1.4	0.6	1.0	0.8	0.5	0.7	2.8	2.3	2.5	3.5	2.1	2.8	2.5	1.8	2.1	2.8	1.9	38,912	342	411	580	12,546	25,004	57,966	475	513	945	21,148	34,854	67.1	72.0	80.1	61.4	59.3	71.7	2,308	21	15	79	1,213	978	2,198	27	20	45	350	1,756
Alaska	2006-07	02	525	115	105	220	10	15	25	11	7	18	13	9	22	100	88	188	712	115	147	262	22	18	40	24	15	39	17	17	34	171	137	308	891	172	128	300	33	35	68	18	22	40	36	23	59	202	174	376	961	109	149	258	35	32	67	28	25	53	41	30	71	239	187	426	3,089	511	529	1,040	100	100	200	81	69	150	107	79	186	712	586	1,298	1,511	1,363	11,337	1,623	1,633	3,256	387	360	747	234	219	453	235	241	476	3,297	3,108	6,405	10,839	1,404	1,387	2,791	386	376	762	211	198	409	242	241	483	3,344	3,050	6,394	10,226	1,222	1,232	2,454	381	385	766	224	203	427	241	226	467	3,101	3,011	6,112	10,039	1,258	1,186	2,444	367	344	711	201	177	378	220	221	441	3,086	2,979	6,065	42,441	5,507	5,438	10,945	1,521	1,465	2,986	870	797	1,667	938	929	1,867	12,828	12,148	24,976	21,664	20,777	4.6	6.6	8.7	9.6	7.3	9.3	9.7	9.5	6.6	6.8	6.7	9.3	8.7	9.0	11.4	8.5	10.0	5.6	4.8	5.2	7.0	6.6	7,666	1,693	520	250	282	4,921	11,102	2,964	665	388	465	6,620	69.1	57.1	78.2	64.4	60.6	74.3	273	127	27	19	24	76	679	138	21	30	22	397
Arizona	2006-07	04	3,951	329	235	564	12	14	26	1,003	677	1,680	136	77	213	784	684	1,468	4,496	245	216	461	33	36	69	1,021	836	1,857	135	112	247	1,013	849	1,862	5,434	245	241	486	39	35	74	1,132	1,025	2,157	158	112	270	1,319	1,128	2,447	9,307	521	520	1,041	85	66	151	2,220	1,658	3,878	321	267	588	2,123	1,526	3,649	23,188	1,340	1,212	2,552	169	151	320	5,376	4,196	9,572	750	568	1,318	5,239	4,187	9,426	12,874	10,314	84,003	2,826	2,778	5,604	966	990	1,956	17,053	16,144	33,197	2,342	2,194	4,536	19,791	18,912	38,703	79,495	2,563	2,460	5,023	1,048	1,021	2,069	15,159	14,324	29,483	2,256	2,067	4,323	19,828	18,765	38,593	72,580	2,004	2,146	4,150	964	922	1,886	12,925	12,809	25,734	2,080	1,944	4,024	18,499	18,284	36,783	70,559	2,187	2,317	4,504	977	976	1,953	12,378	12,033	24,411	2,013	1,893	3,906	18,277	17,506	35,783	306,637	9,580	9,701	19,281	3,955	3,909	7,864	57,515	55,310	112,825	8,691	8,098	16,789	76,395	73,467	149,862	156,136	150,485	4.7	5.7	7.5	13.2	7.6	14.0	12.5	13.2	4.3	3.9	4.1	9.3	7.6	8.5	8.6	7.0	7.9	6.9	5.7	6.3	8.2	6.9	55,954	3,154	1,699	17,593	2,930	30,578	80,395	6,718	1,709	26,809	3,842	41,318	69.6	46.9	99.4	65.6	76.3	74.0	-1	-1	-1	-1	-1	-1	3,451	160	52	821	152	1,798
Arkansas	2006-07	05	1,111	5	3	8	4	7	11	53	31	84	262	164	426	331	251	582	1,486	5	6	11	9	7	16	66	56	122	319	188	507	493	337	830	1,889	8	3	11	8	13	21	83	55	138	356	217	573	662	484	1,146	1,970	7	5	12	7	9	16	63	35	98	317	238	555	750	539	1,289	6,456	25	17	42	28	36	64	265	177	442	1,254	807	2,061	2,236	1,611	3,847	3,808	2,648	38,982	136	133	269	269	272	541	1,293	1,205	2,498	4,780	4,496	9,276	13,555	12,836	26,391	37,274	139	127	266	282	246	528	1,228	1,030	2,258	4,299	4,153	8,452	13,490	12,276	25,766	33,939	101	104	205	303	306	609	973	911	1,884	3,651	3,866	7,517	11,963	11,755	23,718	29,650	106	94	200	252	267	519	673	686	1,359	3,005	3,352	6,357	10,693	10,515	21,208	139,845	482	458	940	1,106	1,091	2,197	4,167	3,832	7,999	15,735	15,867	31,602	49,701	47,382	97,083	71,191	68,630	2.9	4.0	5.6	6.6	4.6	5.2	3.7	4.5	2.5	3.3	2.9	6.4	4.6	5.5	8.0	5.1	6.5	4.5	3.4	4.0	5.3	3.9	27,166	154	449	1,121	5,534	19,449	36,491	212	425	1,588	8,416	25,850	74.4	72.6	100.0	70.6	65.8	70.2	-1	-1	-1	-1	-1	-1	3,034	43	20	89	296	2,563
California	2006-07	06	17,369	94	111	205	488	349	837	5,565	4,289	9,854	1,522	1,227	2,749	1,636	1,305	2,941	18,207	113	104	217	535	385	920	5,787	4,320	10,107	1,534	1,196	2,729	1,999	1,535	3,534	22,044	145	117	262	668	464	1,132	6,689	4,803	11,492	1,888	1,333	3,221	3,184	2,053	5,237	51,103	324	254	578	2,075	1,275	3,350	15,938	11,624	27,562	4,278	3,101	7,379	6,784	4,114	10,898	108,723	676	586	1,262	3,765	2,473	6,238	33,953	25,013	58,966	9,215	6,853	16,068	13,570	8,986	22,556	61,246	43,959	539,782	2,140	2,180	4,320	30,624	28,508	59,131	133,961	125,190	259,151	23,069	22,018	45,087	81,876	75,626	157,502	514,113	2,126	2,076	4,202	30,885	28,949	59,832	118,711	113,365	232,072	21,381	20,774	42,152	83,912	78,734	162,646	485,327	2,056	2,094	4,149	30,426	28,527	58,951	104,136	101,533	205,669	19,715	19,122	38,837	85,118	80,492	165,610	441,488	1,925	1,895	3,820	29,872	27,978	57,850	87,900	87,717	175,617	17,992	17,632	35,624	80,868	77,315	158,183	1980710	8,230	8,237	16,467	121,287	113,517	234,804	444,021	427,100	871,121	82,056	79,419	161,475	330,130	310,632	640,762	988,693	941,725	3.2	3.5	4.5	11.6	5.5	8.2	7.1	7.7	3.1	2.2	2.7	7.6	5.9	6.8	11.2	8.6	10.0	4.1	2.9	3.5	6.2	4.7	356,641	2,866	52,252	128,462	25,737	138,595	504,368	4,642	58,320	216,385	44,105	174,913	70.7	61.7	89.6	59.4	58.4	79.2	-2	-2	-2	-2	-2	-2	8,501	137	578	3,071	785	3,146
Colorado	2006-07	08	3,466	44	43	87	27	28	55	1,042	921	1,963	164	144	308	603	450	1,053	3,846	46	31	77	26	28	54	1,052	889	1,941	183	156	339	802	633	1,435	3,982	47	35	82	42	21	63	935	810	1,745	170	153	323	985	784	1,769	4,971	55	49	104	76	45	121	1,101	841	1,942	248	193	441	1,403	960	2,363	16,265	192	158	350	171	122	293	4,130	3,461	7,591	765	646	1,411	3,793	2,827	6,620	9,051	7,214	64,522	452	450	902	932	955	1,887	8,922	8,505	17,427	2,096	1,986	4,082	20,691	19,533	40,224	60,013	375	348	723	906	950	1,856	7,461	7,163	14,624	1,925	1,773	3,698	20,080	19,032	39,112	55,818	294	294	588	910	872	1,782	6,042	5,880	11,922	1,694	1,630	3,324	19,365	18,837	38,202	53,774	274	305	579	964	888	1,852	5,510	5,447	10,957	1,456	1,614	3,070	19,070	18,246	37,316	234,127	1,395	1,397	2,792	3,712	3,665	7,377	27,935	26,995	54,930	7,171	7,003	14,174	79,206	75,648	154,854	119,419	114,708	5.4	6.4	7.1	9.2	6.9	13.8	11.3	12.5	4.6	3.3	4.0	14.8	12.8	13.8	10.7	9.2	10.0	4.8	3.7	4.3	7.6	6.3	45,628	445	1,635	8,100	2,417	33,031	59,551	739	1,786	13,672	3,498	39,822	76.6	60.2	91.5	59.2	69.1	82.9	2,929	59	53	780	196	1,841	3,215	62	77	753	186	2,130
Connecticut	2006-07	09	894	3	3	6	11	4	15	211	135	346	145	104	249	170	108	278	951	3	4	7	8	5	13	193	139	332	172	99	271	184	144	328	1,040	0	3	3	11	4	15	157	130	287	149	90	239	292	204	496	752	3	0	3	9	6	15	104	106	210	74	57	131	227	166	393	3,637	9	10	19	39	19	58	665	510	1,175	540	350	890	873	622	1,495	2,126	1,511	47,373	84	82	166	752	717	1,469	4,317	3,909	8,226	3,741	3,513	7,254	15,604	14,654	30,258	44,620	58	60	118	766	663	1,429	3,331	3,146	6,477	3,259	3,084	6,343	15,509	14,744	30,253	43,101	72	78	150	698	642	1,340	2,918	2,882	5,800	2,964	2,861	5,825	15,343	14,643	29,986	39,579	67	58	125	638	637	1,275	2,417	2,329	4,746	2,418	2,601	5,019	14,372	14,042	28,414	174,673	281	278	559	2,854	2,659	5,513	12,983	12,266	25,249	12,382	12,059	24,441	60,828	58,083	118,911	89,328	85,345	1.9	2.1	2.4	1.9	2.1	3.2	3.6	3.4	1.4	0.7	1.1	5.1	4.2	4.7	4.4	2.9	3.6	1.4	1.1	1.3	2.4	1.8	37,541	102	1,227	4,139	4,689	27,384	45,882	163	1,269	6,461	6,592	31,335	81.8	62.6	96.7	64.1	71.1	87.4	-1	-1	-1	-1	-1	-1	669	7	5	95	120	442
Delaware	2006-07	10	757	0	0	0	-1	-1	-1	64	39	103	199	127	326	200	125	325	561	0	0	0	6	6	12	32	29	61	157	90	247	145	96	241	371	0	3	3	5	0	5	17	21	38	85	65	150	100	75	175	331	0	0	0	3	0	3	15	8	23	60	45	105	114	86	200	2,020	0	3	3	17	6	23	128	97	225	501	327	828	559	382	941	-1	-1	11,223	12	15	27	-1	-1	-1	498	455	953	2,181	1,870	4,051	3,074	2,866	5,940	9,770	23	20	43	130	137	267	361	376	737	1,549	1,684	3,233	2,906	2,584	5,490	8,221	19	14	33	136	114	250	264	259	523	1,163	1,165	2,328	2,612	2,475	5,087	7,482	9	21	30	122	119	241	200	213	413	993	1,063	2,056	2,389	2,353	4,742	36,696	63	70	133	518	492	1,010	1,323	1,303	2,626	5,886	5,782	11,668	10,981	10,278	21,259	-1	-1	6.7	5.7	4.5	4.4	5.5	0.0	4.3	2.3	3.3	1.2	2.3	9.7	7.4	8.6	8.5	5.7	7.1	5.1	3.7	4.4	-1.0	-1.0	7,205	27	237	424	2,034	4,483	10,017	35	235	655	3,177	5,916	71.9	77.1	100.0	64.7	64.0	75.8	-1	-1	-1	-1	-1	-1	182	1	2	14	47	112
District of Columbia	2006-07	11	512	0	0	0	3	0	3	40	43	83	256	170	426	0	0	0	346	0	0	0	3	3	6	16	21	37	173	124	297	3	3	6	258	0	0	0	3	3	6	13	14	27	131	94	225	0	0	0	226	0	0	0	3	0	3	16	13	29	96	95	191	0	3	3	1,342	0	0	0	12	6	18	85	91	176	656	483	1,139	3	6	9	756	586	6,687	0	1	1	47	45	92	303	345	648	2,961	2,851	5,812	70	65	135	4,571	3	1	4	26	33	59	160	200	360	1,880	2,120	4,000	65	82	147	4,209	0	4	4	38	31	69	175	177	352	1,697	1,936	3,633	75	77	152	3,467	0	2	2	38	39	77	98	138	236	1,292	1,738	3,030	70	52	122	18,934	3	8	11	149	148	297	736	860	1,596	7,830	8,645	16,475	280	276	556	8,998	9,937	7.7	7.6	6.1	6.5	7.1	0.0	0.0	0.0	8.1	4.1	6.1	11.5	10.6	11.0	8.4	5.6	6.9	1.1	2.2	1.6	8.4	5.9	2,944	-1	-1	-1	-1	-1	5,364	3	82	464	4,246	153	54.9	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	149	2	1	14	105	13
Florida	2006-07	12	8,437	9	9	18	50	36	86	1,277	853	2,130	1,862	1,248	3,110	1,742	1,216	2,958	7,744	6	9	15	45	36	81	1,286	883	2,169	1,531	1,167	2,698	1,548	1,112	2,660	7,302	13	8	21	55	35	90	1,110	809	1,919	1,434	1,091	2,525	1,522	1,131	2,653	7,059	7	10	17	65	29	94	1,039	860	1,899	1,327	1,123	2,450	1,397	1,119	2,516	30,542	35	36	71	215	136	351	4,712	3,405	8,117	6,154	4,629	10,783	6,209	4,578	10,787	17,325	12,784	238,921	370	322	692	2,675	2,390	5,065	28,846	26,017	54,863	31,068	27,945	59,013	59,129	54,399	113,528	210,252	304	283	587	2,482	2,347	4,829	25,238	24,248	49,486	24,708	24,563	49,271	51,786	49,935	101,721	186,291	267	259	526	2,451	2,424	4,875	20,610	21,166	41,776	20,039	21,826	41,865	47,323	46,694	94,017	160,852	229	222	451	2,245	2,313	4,558	16,552	17,723	34,275	16,700	18,800	35,500	41,575	42,058	83,633	796,316	1,170	1,086	2,256	9,853	9,474	19,327	91,246	89,154	180,400	92,515	93,134	185,649	199,813	193,086	392,899	394,597	385,934	3.5	3.7	3.9	4.4	3.8	3.0	3.3	3.1	2.2	1.4	1.8	5.2	3.8	4.5	6.7	5.0	5.8	3.1	2.4	2.7	4.4	3.3	142,284	405	4,234	28,861	28,099	78,413	219,054	624	4,628	46,385	54,266	113,151	65.0	64.9	91.5	62.2	51.8	69.3	9,655	21	263	3,354	4,071	1,844	14,908	110	245	2,244	1,959	10,348
