SURVYEAR	FIPST	STATENAME	TOTD9	AMD9M	AMD9F	AMD9	ASD9M	ASD9F	ASD9	HID9M	HID9F	HID9	BLD9M	BLD9F	BLD9	WHD9M	WHD9F	WHD9	TOTD10	AMD10M	AMD10F	AMD10	ASD10M	ASD10F	ASD10	HID10M	HID10F	HID10	BLD10M	BLD10F	BLD10	WHD10M	WHD10F	WHD10	TOTD11	AMD11M	AMD11F	AMD11	ASD11M	ASD11F	ASD11	HID11M	HID11F	HID11	BLD11M	BLD11F	BLD11	WHD11M	WHD11F	WHD11	TOTD12	AMD12M	AMD12F	AMD12	ASD12M	ASD12F	ASD12	HID12M	HID12F	HID12	BLD12M	BLD12F	BLD12	WHD12M	WHD12F	WHD12	TOTD912	TOTDAMM	TOTDAMF	TOTDAM	TOTDASM	TOTDASF	TOTDAS	TOTDHIM	TOTDHIF	TOTDHI	TOTDBLM	TOTDBLF	TOTDBL	TOTDWHM	TOTDWHF	TOTDWH	TOTDM	TOTDF	G9	AM9M	AM9F	AM9	AS9M	AS9F	AS9	HI9M	HI9F	HI9	BL9M	BL9F	BL9	WH9M	WH9F	WH9	G10	AM10M	AM10F	AM10	AS10M	AS10F	AS10	HI10M	HI10F	HI10	BL10M	BL10F	BL10	WH10M	WH10F	WH10	G11	AM11M	AM11F	AM11	AS11M	AS11F	AS11	HI11M	HI11F	HI11	BL11M	BL11F	BL11	WH11M	WH11F	WH11	G12	AM12M	AM12F	AM12	AS12M	AS12F	AS12	HI12M	HI12F	HI12	BL12M	BL12F	BL12	WH12M	WH12F	WH12	EBS912	EBSAMM	EBSAMF	EBSAM	EBSASM	EBSASF	EBSAS	EBSHIM	EBSHIF	EBSHI	EBSBLM	EBSBLF	EBSBL	EBSWHM	EBSWHF	EBSWH	EBSM	EBSF	DRP9	DRP10	DRP11	DRP12	DRP912	DRPAMM	DRPAMF	DRPAM	DRPASM	DRPASF	DRPAS	DRPHIM	DRPHIF	DRPHI	DRPBLM	DRPBLF	DRPBL	DRPWHM	DRPWHF	DRPWH	DRPM	DRPF	TOTDPL	AMDPL	ASDPL	HIDPL	BLDPL	WHDPL	AFGEB	AFGEBAM	AFGEBAS	AFGEBHI	AFGEBBL	AFGEBWH	AFGR	AFGRAM	AFGRAS	AFGRHI	AFGRBL	AFGRWH	TOTOHC	AMOHC	ASOHC	HIOHC	BLOHC	WHOHC	EQUIV	AMEQUIV	ASEQUIV	HIEQUIV	BLEQUIV	WHEQUIV
2007	1	Alabama	1256	5	5	10	6	4	10	16	8	24	344	207	551	440	221	661	1335	8	5	13	3	3	6	26	13	39	294	211	505	428	341	769	1221	4	3	7	4	3	7	16	14	30	223	190	413	396	366	762	842	4	3	7	3	0	3	10	5	15	164	132	296	266	248	514	4654	21	16	37	16	10	26	68	40	108	1025	740	1765	1530	1176	2706	2660	1982	64602	302	288	590	339	319	658	970	809	1779	13187	12061	25248	18971	17356	36327	54902	251	260	511	314	358	672	709	667	1376	9949	10251	20200	16408	15735	32143	49286	240	247	487	283	293	576	518	497	1015	8212	9240	17452	14994	14762	29756	45836	218	244	462	260	248	508	386	433	819	7542	8462	16004	14019	14024	28043	214626	1011	1039	2050	1196	1218	2414	2583	2406	4989	38890	40014	78904	64392	61877	126269	108072	106554	1.9	2.4	2.5	1.8	2.2	2.1	1.5	1.8	1.3	0.8	1.1	2.6	1.7	2.2	2.6	1.8	2.2	2.4	1.9	2.1	2.5	1.9	41346	437	474	684	13343	26375	59954	531	543	1100	22033	35699	69	82.3	87.3	62.2	60.6	73.9	2103	18	8	58	1212	806	3479	53	28	65	650	2680
2007	2	Alaska	455	131	103	234	10	3	13	9	8	17	16	6	22	93	46	139	607	118	142	260	21	14	35	16	15	31	20	12	32	124	96	220	940	136	151	287	45	38	83	23	28	51	31	18	49	235	172	407	1038	191	180	371	45	31	76	35	30	65	33	16	49	254	169	423	3040	576	576	1152	121	86	207	83	81	164	100	52	152	706	483	1189	1586	1278	10633	1456	1235	2691	368	359	727	328	261	589	203	197	400	2948	2749	5697	10534	1191	1243	2434	377	369	746	288	274	562	199	174	373	3021	2892	5913	10472	1091	1113	2204	380	387	767	254	256	510	223	195	418	3171	2913	6084	10005	1090	1046	2136	386	376	762	296	240	536	207	183	390	2933	2755	5688	41644	4828	4637	9465	1511	1491	3002	1166	1031	2197	832	749	1581	12073	11309	23382	20410	19217	4.3	5.8	9	10.4	7.3	11.9	12.4	12.2	8	5.8	6.9	7.1	7.9	7.5	12	6.9	9.6	5.8	4.3	5.1	7.8	6.7	7855	1523	575	389	262	4742	11370	2934	751	429	506	6749	69.1	51.9	76.6	90.7	51.8	70.3	303	127	27	21	16	106	620	155	26	37	26	344
2007	4	Arizona	3538	272	196	468	33	26	59	841	618	1459	117	79	196	697	659	1356	4141	239	192	431	31	26	57	852	751	1603	140	116	256	922	872	1794	5108	243	217	460	30	35	65	1020	939	1959	147	137	284	1252	1088	2340	8247	421	431	852	83	61	144	2060	1619	3679	310	242	552	1770	1250	3020	21034	1175	1036	2211	177	148	325	4773	3927	8700	714	574	1288	4641	3869	8510	11480	9554	83850	2776	2670	5446	1135	1101	2236	17120	16410	33530	2477	2318	4795	19470	18373	37843	80655	2382	2443	4825	1066	1040	2106	15766	15259	31025	2333	2242	4575	19360	18764	38124	75416	2274	2211	4485	1062	1038	2100	13807	13477	27284	2185	2079	4264	19039	18244	37283	76275	2245	2376	4621	1106	1026	2132	13935	13619	27554	2338	2088	4426	19092	18450	37542	316232	9686	9705	19391	4369	4205	8574	60628	58765	119393	9333	8727	18060	76968	73835	150803	160984	155237	4.2	5.1	6.8	10.8	6.7	12.1	10.7	11.4	4.1	3.5	3.8	7.9	6.7	7.3	7.7	6.6	7.1	6	5.2	5.6	7.1	6.2	61667	3625	1878	20276	3398	32490	87280	6435	1906	30381	4419	44139	70.7	56.3	98.5	66.7	76.9	73.6	-2	-2	-2	-2	-2	-2	3845	167	63	1017	195	2041
2007	5	Arkansas	1076	3	0	3	4	6	10	59	33	92	281	153	434	333	204	537	1561	7	9	16	12	5	17	59	60	119	371	217	588	495	326	821	1922	10	4	14	11	10	21	81	57	138	327	264	591	685	473	1158	1933	9	7	16	8	6	14	67	36	103	299	219	518	723	559	1282	6492	29	20	49	35	27	62	266	186	452	1278	853	2131	2236	1562	3798	3844	2648	37819	141	155	296	276	248	524	1442	1321	2763	4612	4382	8994	13050	12192	25242	36781	137	128	265	289	287	576	1280	1187	2467	4301	4236	8537	12680	12256	24936	33613	135	121	256	256	257	513	1072	945	2017	3634	3848	7482	12129	11216	23345	30708	86	104	190	272	291	563	793	803	1596	3114	3537	6651	10838	10870	21708	139075	500	508	1008	1093	1083	2176	4588	4256	8844	15706	16018	31724	48739	46561	95300	70626	68426	2.8	4.2	5.7	6.3	4.7	5.8	3.9	4.9	3.2	2.5	2.8	5.8	4.4	5.1	8.1	5.3	6.7	4.6	3.4	4	5.4	3.9	28725	185	513	1421	6132	20474	37612	213	487	1824	8739	26349	76.4	86.9	100	77.9	70.2	77.7	-2	-2	-2	-2	-2	-2	3094	48	24	113	306	2585
2007	6	California	13316	85	70	155	352	244	596	4348	3495	7843	1095	929	2024	1242	966	2208	15150	85	82	167	417	279	696	5118	3743	8861	1233	953	2186	1569	1152	2721	19468	132	94	226	613	357	970	6535	4290	10825	1625	1129	2754	2493	1595	4088	50129	329	197	526	1979	1223	3202	16194	11086	27280	4542	2954	7496	6426	3923	10349	98230	631	444	1075	3364	2103	5467	32268	22643	54911	8507	5969	14476	11765	7644	19409	56535	38803	525952	2138	2008	4146	31330	28925	60255	137007	127721	264728	22621	21549	44170	78415	72797	151212	498459	2093	2141	4234	31251	29181	60432	121354	115474	236828	20682	20026	40708	80783	75240	156023	473592	2040	1923	3963	30685	29265	59950	108349	104965	213314	19165	18824	37989	81302	77041	158343	454018	2000	2049	4049	30441	28829	59270	97156	96578	193734	18998	17996	36994	82020	77916	159936	1954925	8287	8125	16412	123887	116277	240164	464766	445241	910007	81608	78454	160062	323141	303327	626468	1001689	951424	2.5	3	4.1	11	5	7.6	5.5	6.6	2.7	1.8	2.3	6.9	5.1	6	10.4	7.6	9	3.6	2.5	3.1	5.6	4.1	374561	3071	54019	142491	25911	141011	526251	4700	59276	232754	45104	175992	71.2	65.3	91.1	61.2	57.4	80.1	-2	-2	-2	-2	-2	-2	9543	135	605	3620	1040	3248
2007	8	Colorado	2469	33	23	56	21	20	41	734	626	1360	133	120	253	425	334	759	2915	36	28	64	23	23	46	792	731	1523	166	139	305	556	421	977	4067	50	37	87	33	34	67	973	858	1831	232	146	378	995	709	1704	5668	65	56	121	77	53	130	1221	960	2181	318	290	608	1519	1109	2628	15119	184	144	328	154	130	284	3720	3175	6895	849	695	1544	3495	2573	6068	8402	6717	63333	442	428	870	951	909	1860	8994	8485	17479	1946	1951	3897	20238	18989	39227	60702	364	392	756	928	982	1910	7631	7489	15120	1911	1874	3785	20070	19061	39131	56772	347	317	664	941	965	1906	6420	6397	12817	1759	1651	3410	19431	18544	37975	55334	298	325	623	954	883	1837	5767	5835	11602	1768	1692	3460	19259	18553	37812	236141	1451	1462	2913	3774	3739	7513	28812	28206	57018	7384	7168	14552	78998	75147	154145	120419	115722	3.9	4.8	7.2	10.2	6.4	12.7	9.8	11.3	4.1	3.5	3.8	12.9	11.3	12.1	11.5	9.7	10.6	4.4	3.4	3.9	7	5.8	46082	438	1617	8454	2498	33075	61102	707	1756	14899	3836	39887	75.4	62	92.1	56.7	65.1	82.9	1429	28	33	381	107	880	3421	72	71	836	222	2214
2007	9	Connecticut	1233	4	3	7	14	5	19	332	172	504	302	115	417	187	99	286	1271	4	0	4	13	7	20	257	168	425	271	102	373	280	169	449	1296	0	0	0	21	9	30	218	155	373	229	101	330	349	214	563	1106	0	3	3	6	9	15	184	112	296	184	83	267	336	189	525	4906	8	6	14	54	30	84	991	607	1598	986	401	1387	1152	671	1823	3191	1715	47600	80	89	169	726	709	1435	4477	3950	8427	4073	3435	7508	15485	14576	30061	43861	75	75	150	784	732	1516	3546	3318	6864	3225	3175	6400	14831	14100	28931	42078	56	57	113	736	645	1381	2990	2801	5791	2897	2821	5718	14873	14202	29075	40319	58	68	126	679	638	1317	2501	2548	5049	2596	2587	5183	14589	14055	28644	173858	269	289	558	2925	2724	5649	13514	12617	26131	12791	12018	24809	59778	56933	116711	89277	84581	2.6	2.9	3.1	2.7	2.8	3	2.1	2.5	1.8	1.1	1.5	7.3	4.8	6.1	7.7	3.3	5.6	1.9	1.2	1.6	3.6	2	38419	104	1307	4451	4775	27782	46766	158	1320	6768	6713	31734	82.2	65.8	99	65.8	71.1	87.5	37	-1	-1	-1	-1	-1	762	6	9	119	107	521
2007	10	Delaware	710	3	0	3	6	4	10	51	33	84	215	133	348	156	109	265	622	0	3	3	-1	3	-1	34	33	67	143	117	260	168	118	286	422	3	0	3	4	-1	-1	15	21	36	89	63	152	134	90	224	458	3	0	3	-1	3	-1	29	16	45	104	49	153	143	106	249	2212	9	3	12	-1	-1	-1	129	103	232	551	362	913	601	423	1024	-1	-1	11230	15	24	39	142	118	260	544	508	1052	2076	1868	3944	3160	2775	5935	9791	14	13	27	-1	135	-1	388	381	769	1604	1647	3251	2783	2701	5484	8147	16	18	34	115	-1	-1	276	282	558	1194	1345	2539	2485	2315	4800	7430	18	10	28	-1	85	-1	224	232	456	1022	1118	2140	2377	2239	4616	36598	63	65	128	-1	-1	-1	1432	1403	2835	5896	5978	11874	10805	10030	20835	-1	-1	6.3	6.4	5.2	6.2	6	14.3	4.6	9.4	-1	-1	-1	9	7.3	8.2	9.3	6.1	7.7	5.6	4.2	4.9	-1	-1	7388	-1	-1	-1	-1	-1	10250	36	232	739	3289	5955	72.1	-1	-1	-1	-1	-1	154	-1	-1	-1	-1	-1	205	1	2	13	71	114
2007	11	District of Columbia	436	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	226	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	199	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1175	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7024	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4974	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4038	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3936	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21542	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5.7	5.9	5.2	4.7	5.5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3352	3	58	277	2871	144	5986	3	78	511	4883	162	56	100	74.4	54.2	58.8	88.9	101	-1	-1	7	89	5	162	1	0	17	131	7
2007	12	Florida	6393	7	7	14	21	24	45	997	806	1803	1450	980	2430	1187	793	1980	6212	5	9	14	28	13	41	1114	735	1849	1278	953	2231	1178	795	1973	5954	9	8	17	43	24	67	914	665	1579	1164	889	2053	1189	956	2145	5882	6	6	12	40	16	56	911	674	1585	1081	915	1996	1202	949	2151	26635	27	30	57	132	77	209	3936	2880	6816	4973	3737	8710	4756	3493	8249	13824	10217	231807	362	320	682	2626	2334	4960	28946	26182	55128	29964	27287	57251	55727	51812	107539	209510	314	277	591	2592	2413	5005	25551	24099	49650	25157	24618	49775	50666	48634	99300	190444	278	260	538	2491	2424	4915	21571	21771	43342	21131	22633	43764	47354	46421	93775	164966	232	227	459	2269	2293	4562	17593	19061	36654	17021	19414	36435	41553	42367	83920	796727	1186	1084	2270	9978	9464	19442	93661	91113	184774	93273	93952	187225	195300	189234	384534	393398	384847	2.8	3	3.1	3.6	3.3	2.3	2.8	2.5	1.3	0.8	1.1	4.2	3.2	3.7	5.3	4	4.7	2.4	1.8	2.1	3.5	2.7	149046	443	4255	31721	30239	79596	222755	630	4656	49615	54274	113580	66.9	70.3	91.4	63.9	55.7	70.1	9324	17	248	3384	3952	1617	16266	98	256	2581	2178	11112
