FIPST	SURVYEAR	STATENAME	TOTD9	AMD9	ASD9	HID9	BLD9	WHD9	HPD9	TRD9	TOTD10	AMD10	ASD10	HID10	BLD10	WHD10	HPD10	TRD10	TOTD11	AMD11	ASD11	HID11	BLD11	WHD11	HPD11	TRD11	TOTD12	AMD12	ASD12	HID12	BLD12	WHD12	HPD12	TRD12	TOTD912	TOTDAM	TOTDAS	TOTDHI	TOTDBL	TOTDWH	TOTDHP	TOTDTR	G9	G10	G11	G12	EBS912	EBSAM	EBSAS	EBSHI	EBSBL	EBSWH	EBSHP	EBSTR	DRP9	DRP10	DRP11	DRP12	DRP912	DRPAM	DRPAS	DRPHI	DRPBL	DRPWH	DRPHP	DRPTR	TOTDPL	AMDPL	ASDPL	HIDPL	BLDPL	WHDPL	HPDPL	TRDPL	AFGEB	AFGEBAM	AFGEBAS	AFGEBHI	AFGEBBL	AFGEBWH	AFGR	AFGRAM	AFGRAS	AFGRHI	AFGRBL	AFGRWH	TOTOHC	AMOHC	ASOHC	HIOHC	BLOHC	WHOHC	HPOHC	TROHC	EQUIV	AMEQUIV	ASEQUIV	HIEQUIV	BLEQUIV	WHEQUIV	HPEQUIV	TREQUIV	RACECAT
01	2008-09	Alabama	865	6	2	16	393	447	-2	-2	900	6	8	28	384	472	-2	-2	829	8	7	25	294	493	-2	-2	698	4	1	20	247	426	-2	-2	3292	24	18	89	1318	1838	-2	-2	64681	56559	49587	46763	217590	2073	2566	5650	79199	127753	-2	-2	1.3	1.6	1.7	1.5	1.5	1.2	0.7	1.6	1.7	1.4	-2.0	-2.0	42082	461	509	799	13884	26380	-2	-2	60169	544	564	1268	22315	35425	69.9	84.7	90.2	63.0	62.2	74.5	2168	17	12	81	1312	744	-2	-2	3316	38	19	59	573	2545	-2	-2	5
02	2008-09	Alaska	392	32	0	0	2	7	0	1	554	25	0	2	4	11	0	3	1032	28	0	1	1	11	0	1	926	29	1	1	1	9	0	0	2904	114	1	4	8	38	0	5	10475	10200	10937	9787	41399	9463	2367	2175	1465	22904	692	2333	3.7	5.4	9.4	9.5	7.0	1.2	0.0	0.2	0.5	0.2	0.0	0.2	8008	1508	469	364	283	4874	119	391	11034	2909	736	407	503	6478	72.6	51.8	79.9	89.4	56.3	75.2	271	95	25	17	9	91	18	16	599	150	14	33	29	349	9	-2	7
04	2008-09	Arizona	6684	578	131	3576	502	1897	-2	-2	5082	538	85	2330	370	1759	-2	-2	5976	549	104	2637	431	2255	-2	-2	8431	776	143	3870	602	3040	-2	-2	26173	2441	463	12413	1905	8951	-2	-2	83831	80200	75282	76735	316122	18964	9219	121397	18899	147642	-2	-2	8.0	6.3	7.9	11.0	8.3	12.9	5.0	10.2	10.1	6.1	-2.0	-2.0	62374	3346	2007	21607	3519	31895	-2	-2	85984	6218	2029	31210	4473	42053	72.5	53.8	98.9	69.2	78.7	75.8	0	0	0	0	0	0	-2	-2	3863	187	52	1010	216	2206	-2	-2	5
05	2008-09	Arkansas	872	7	9	83	326	446	-2	-2	1330	8	25	114	491	692	-2	-2	1739	15	24	150	505	1042	-2	-2	1699	16	24	95	466	1095	-2	-2	5641	46	82	442	1789	3275	-2	-2	37627	35853	33460	30256	137358	1026	2157	9501	31324	93351	-2	-2	2.3	3.7	5.2	5.6	4.1	4.5	3.8	4.7	5.7	3.5	-2.0	-2.0	28057	205	442	1599	5939	19872	-2	-2	37912	259	468	2113	8736	26335	74.0	79.2	94.4	75.7	68.0	75.5	-2	-2	-2	-2	-2	-2	-2	-2	3169	67	23	146	322	2591	-2	-2	5
06	2008-09	California	13479	-1	-1	-1	-1	-1	-1	-1	15275	-1	-1	-1	-1	-1	-1	-1	20057	-1	-1	-1	-1	-1	-1	-1	52377	-1	-1	-1	-1	-1	-1	-1	101188	1078	5474	57420	14710	19340	313	2853	539167	509157	489207	476156	2013687	15921	232091	933166	159379	608329	13276	51525	2.5	3.0	4.1	11.0	5.0	6.8	2.4	6.2	9.2	3.2	2.4	5.5	372310	2890	51875	147717	25420	134816	2826	6766	524273	4390	59551	239913	44048	166927	71.0	65.8	91.9	61.6	57.7	80.8	-2	-2	-2	-2	-2	-2	-2	-2	8634	104	368	3530	796	2733	155	-2	7
08	2008-09	Colorado	2584	61	57	1442	235	789	-2	-2	2721	63	38	1441	280	899	-2	-2	3649	92	49	1631	347	1530	-2	-2	5617	153	121	2285	572	2486	-2	-2	14571	369	265	6799	1434	5704	-2	-2	63779	60554	57870	55936	238139	3010	7858	59879	14881	152511	-2	-2	4.1	4.5	6.3	10.0	6.1	12.3	3.4	11.4	9.6	3.7	-2.0	-2.0	47459	466	1738	9364	2619	33272	-2	-2	61162	759	1804	15398	3750	39452	77.6	61.4	96.3	60.8	69.8	84.3	2918	56	38	817	233	1774	-2	-2	3568	90	68	903	276	2227	-2	-2	5
09	2008-09	Connecticut	1271	1	10	530	446	284	-2	-2	1233	3	18	479	380	353	-2	-2	1413	6	13	483	412	499	-2	-2	1475	4	16	476	443	536	-2	-2	5392	14	57	1968	1681	1672	-2	-2	47216	44485	42536	40743	174980	582	6009	26643	24717	117029	-2	-2	2.7	2.8	3.3	3.6	3.1	2.4	0.9	7.4	6.8	1.4	-2.0	-2.0	34968	77	1248	3861	4221	25561	-2	-2	46374	126	1410	6956	6645	31236	75.4	61.1	88.5	55.5	63.5	81.8	368	1	2	83	155	127	-2	-2	710	8	11	109	133	449	-2	-2	5
10	2008-09	Delaware	717	3	5	82	333	294	-2	-2	526	1	8	54	249	214	-2	-2	384	4	6	35	152	187	-2	-2	360	0	9	33	133	185	-2	-2	1987	8	28	204	867	880	-2	-2	11755	9953	8791	8120	38619	148	1244	3098	12623	21506	-2	-2	6.1	5.3	4.4	4.4	5.1	5.4	2.3	6.6	6.9	4.1	-2.0	-2.0	7839	31	246	522	2438	4602	-2	-2	10634	38	268	852	3648	5828	73.7	81.6	91.8	61.3	66.8	79.0	154	1	3	7	61	82	-2	-2	197	5	5	17	60	110	-2	-2	5
11	2008-09	District of Columbia	510	0	3	45	451	11	-2	-2	258	0	1	24	230	3	-2	-2	157	0	3	18	132	4	-2	-2	138	0	4	24	105	5	-2	-2	1246	0	12	135	1075	25	-2	-2	6334	4390	3723	3444	17898	-1	227	1622	15517	520	-2	-2	8.1	5.9	4.2	4.0	7.0	-1.0	5.3	8.3	6.9	4.8	-2.0	-2.0	3517	2	55	245	3084	131	-2	-2	5635	2	65	489	4911	169	62.4	100.0	84.6	50.1	62.8	77.5	-1	-1	-1	-1	-1	-1	-2	-2	164	5	5	12	126	16	-2	-2	5
12	2008-09	Florida	5268	20	29	1424	2143	1554	-2	-2	5325	13	43	1463	2118	1598	-2	-2	5133	15	46	1300	1915	1761	-2	-2	4883	17	57	1276	1702	1742	-2	-2	20609	65	175	5463	7878	6655	-2	-2	217105	207296	189619	167705	781725	2266	19521	183387	181830	373847	-2	-2	2.4	2.6	2.7	2.9	2.6	2.9	0.9	3.0	4.3	1.8	-2.0	-2.0	153461	451	4436	34079	32167	78933	-2	-2	222578	659	4719	50957	53777	110970	68.9	68.4	94.0	66.9	59.8	71.1	7073	14	145	2518	3197	1098	-2	-2	14182	110	215	2239	1976	9632	-2	-2	5
