FIPST	SURVYEAR	STATENAME	TOTD9	AMD9M	AMD9F	AMD9	ASD9M	ASD9F	ASD9	HID9M	HID9F	HID9	BLD9M	BLD9F	BLD9	WHD9M	WHD9F	WHD9	HPD9M	HPD9F	HPD9	TRD9M	TRD9F	TRD9	TOTD10	AMD10M	AMD10F	AMD10	ASD10M	ASD10F	ASD10	HID10M	HID10F	HID10	BLD10M	BLD10F	BLD10	WHD10M	WHD10F	WHD10	HPD10M	HPD10F	HPD10	TRD10M	TRD10F	TRD10	TOTD11	AMD11M	AMD11F	AMD11	ASD11M	ASD11F	ASD11	HID11M	HID11F	HID11	BLD11M	BLD11F	BLD11	WHD11M	WHD11F	WHD11	HPD11M	HPD11F	HPD11	TRD11M	TRD11F	TRD11	TOTD12	AMD12M	AMD12F	AMD12	ASD12M	ASD12F	ASD12	HID12M	HID12F	HID12	BLD12M	BLD12F	BLD12	WHD12M	WHD12F	WHD12	HPD12M	HPD12F	HPD12	TRD12M	TRD12F	TRD12	AMDUGM	AMDUGF	ASDUGM	ASDUGF	HIDUGM	HIDUGF	BLDUGM	BLDUGF	WHDUGM	WHDUGF	HPDUGM	HPDUGF	TRDUGM	TRDUGF	TOTD912	TOTDAMM	TOTDAMF	TOTDAM	TOTDASM	TOTDASF	TOTDAS	TOTDHIM	TOTDHIF	TOTDHI	TOTDBLM	TOTDBLF	TOTDBL	TOTDWHM	TOTDWHF	TOTDWH	TOTDHPM	TOTDHPF	TOTDHP	TOTDTRM	TOTDTRF	TOTDTR	TOTDM	TOTDF	G9	G10	G11	G12	EBS912	EBSAM	EBSAS	EBSHI	EBSBL	EBSWH	EBSHP	EBSTR	DRP9	DRP10	DRP11	DRP12	DRP912	DRPAM	DRPAS	DRPHI	DRPBL	DRPWH	DRPHP	DRPTR	TOTDPL	AMDPLM	AMDPLF	AMDPL	ASDPLM	ASDPLF	ASDPL	HIDPLM	HIDPLF	HIDPL	BLDPLM	BLDPLF	BLDPL	WHDPLM	WHDPLF	WHDPL	HPDPLM	HPDPLF	HPDPL	TRDPLM	TRDPLF	TRDPL	DPLM	DPLF	AFGEB	AFGEBAM	AFGEBAS	AFGEBHI	AFGEBBL	AFGEBWH	AFGR	AFGRAM	AFGRAS	AFGRHI	AFGRBL	AFGRWH	TOTOHC	AMOHCM	AMOHCF	AMOHC	ASOHCM	ASOHCF	ASOHC	HIOHCM	HIOHCF	HIOHC	BLOHCM	BLOHCF	BLOHC	WHOHCM	WHOHCF	WHOHC	HPOHCM	HPOHCF	HPOHC	TROHCM	TROHCF	TROHC	RACECAT
01	2009-10	Alabama	864	4	3	7	3	3	6	9	15	24	261	137	398	262	158	420	-2	-2	-2	-2	-2	-2	1128	4	3	7	5	4	9	8	7	15	273	196	469	357	246	603	-2	-2	-2	-2	-2	-2	1048	4	5	9	9	5	14	7	6	13	231	175	406	323	267	590	-2	-2	-2	-2	-2	-2	862	3	3	6	4	5	9	3	5	8	180	157	337	265	217	482	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	3902	14	11	27	20	17	37	26	33	59	945	665	1610	1207	888	2095	-2	-2	-2	-2	-2	-2	2212	1614	63338	57794	50199	48164	219495	2079	2685	6357	79631	128361	-2	-2	1.4	2.0	2.1	1.8	1.8	1.3	1.4	0.9	2.0	1.6	-2.0	-2.0	43166	197	210	407	302	304	606	484	492	976	6596	7962	14558	13265	13304	26569	-2	-2	-2	-2	-2	-2	41688	44544	60080	536	661	1467	22266	35064	71.8	75.9	91.7	66.5	65.4	75.8	2164	7	3	10	8	4	12	52	31	83	708	549	1257	470	329	799	-2	-2	-2	-2	-2	-2	5
02	2009-10	Alaska	404	114	93	207	6	3	9	5	7	12	8	0	8	77	64	141	3	3	6	11	10	21	551	116	106	222	8	6	14	15	7	22	7	6	13	120	101	221	9	6	15	24	20	44	1014	195	189	384	11	14	25	23	23	46	22	19	41	243	183	426	16	13	29	29	34	63	851	147	124	271	27	18	45	29	25	54	25	11	36	202	149	351	14	9	23	46	25	71	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	2820	572	512	1084	52	41	91	72	62	134	62	36	98	642	497	1139	42	31	70	110	89	200	1552	1268	10112	10072	10874	9779	40837	9319	2581	2190	1540	22371	760	2076	4.0	5.5	9.3	8.7	6.9	11.6	3.5	6.1	6.4	5.1	9.2	9.6	8245	756	860	1616	266	269	535	200	212	412	137	136	273	2401	2454	4855	61	64	125	189	240	429	8020	8470	10923	2896	744	480	445	6189	75.5	55.8	71.9	85.8	61.3	78.4	322	71	61	132	12	17	29	12	11	23	13	3	16	53	52	105	1	11	12	2	3	5	7
04	2009-10	Arizona	4207	322	230	552	43	47	90	1034	696	1730	204	98	302	829	704	1533	-2	-2	-2	-2	-2	-2	4594	318	306	624	39	45	84	1025	793	1818	164	131	295	932	841	1773	-2	-2	-2	-2	-2	-2	5269	304	345	649	36	42	78	1053	955	2008	187	175	362	1088	1084	2172	-2	-2	-2	-2	-2	-2	10795	471	450	921	116	107	223	2555	1878	4433	432	323	755	2495	1968	4463	-2	-2	-2	-2	-2	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	-2	24865	1415	1331	2746	234	241	475	5667	4322	9989	987	727	1714	5344	4597	9941	-2	-2	-2	-2	-2	-2	13647	11218	82461	80281	75372	79283	317447	18753	9704	123757	19542	145693	-2	-2	5.1	5.7	7.0	13.6	7.8	14.6	4.9	8.1	8.8	6.8	-2.0	-2.0	61145	1572	1798	3370	943	936	1879	10851	11601	22452	1765	1857	3622	14523	14925	29448	-2	-2	-2	-2	-2	-2	59308	62234	81823	5087	1961	31818	4469	38487	74.7	66.2	95.8	70.6	81.0	76.5	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	5
05	2009-10	Arkansas	720	5	3	8	4	0	4	52	32	84	175	92	267	229	118	347	0	0	0	5	5	10	1130	5	3	8	0	0	0	74	33	107	280	135	415	345	239	584	5	3	8	4	4	8	1427	7	9	16	5	4	9	71	56	127	255	169	424	478	351	829	5	5	10	7	5	12	1613	8	5	13	8	7	15	59	49	108	234	168	402	598	459	1057	3	4	7	5	6	11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4892	25	18	45	17	13	27	256	170	426	944	564	1510	1650	1167	2817	12	11	24	21	20	40	2925	1963	37556	35523	32567	30567	136347	924	1982	10494	30312	90828	537	1270	1.9	3.2	4.4	5.3	3.6	4.9	1.4	4.1	5.0	3.1	4.5	3.1	28276	86	85	171	225	232	457	897	952	1849	2720	3225	5945	9714	9784	19498	57	39	96	120	140	260	27638	28914	37716	260	533	2401	8790	25731	75.0	65.8	85.7	77.0	67.6	75.8	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	7
06	2009-10	California	13849	96	65	161	276	227	503	4789	3713	8502	1090	944	2034	1199	871	2070	50	43	93	286	200	486	15518	91	80	171	297	226	523	5437	3991	9428	1245	948	2193	1498	1144	2642	66	46	112	249	200	449	20625	146	102	248	482	331	813	7139	4901	12040	1672	1184	2856	2350	1590	3940	79	63	142	329	257	586	42587	276	176	452	1445	905	2350	14983	10102	25085	3368	2167	5535	4816	2874	7690	149	143	292	714	469	1183	0	3	14	7	91	55	31	16	65	39	0	0	4	2	92874	609	423	1035	2500	1689	4208	32348	22707	55187	7375	5243	12660	9863	6479	16436	344	295	639	1578	1126	2709	54617	37962	524681	506192	487688	478503	1999096	16016	228496	958256	149894	579649	12724	54063	2.6	3.1	4.2	8.9	4.6	6.5	1.8	5.8	8.4	2.8	5.0	5.0	404987	1464	1704	3168	26973	26590	53563	83487	90601	174088	13026	14554	27580	66800	66093	132893	1284	1377	2661	5385	5649	11034	396838	413136	517981	4221	59481	242719	42160	158403	78.2	75.1	90.1	71.7	65.4	83.9	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	7
08	2009-10	Colorado	1957	26	15	41	12	17	29	573	465	1038	112	89	201	367	281	648	-2	-2	-2	-2	-2	-2	2216	33	26	59	13	15	28	608	510	1118	123	86	209	462	340	802	-2	-2	-2	-2	-2	-2	3045	53	37	90	22	22	44	785	653	1438	127	119	246	705	522	1227	-2	-2	-2	-2	-2	-2	5673	56	61	117	54	48	102	1397	1156	2553	398	247	645	1304	952	2256	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	12891	168	139	306	101	102	203	3363	2784	6147	760	541	1301	2838	2095	4933	-2	-2	-2	-2	-2	-2	7230	5661	64106	60394	57964	58526	240990	3031	8396	62263	15061	152239	-2	-2	3.1	3.7	5.3	9.7	5.3	10.1	2.4	9.9	8.6	3.2	-2.0	-2.0	49321	235	272	507	870	940	1810	5002	5531	10533	1404	1509	2913	16706	16852	33558	-2	-2	-2	-2	-2	-2	48434	50208	61795	817	1858	15987	3836	39297	79.8	62.1	97.4	65.9	75.9	85.4	282	2	2	4	1	1	2	63	51	114	13	10	23	76	63	139	-2	-2	-2	-2	-2	-2	5
09	2009-10	Connecticut	1316	3	0	3	9	6	15	365	158	523	342	121	463	227	85	312	-2	-2	-2	-2	-2	-2	1127	3	3	6	6	8	14	257	150	407	259	124	383	193	124	317	-2	-2	-2	-2	-2	-2	1452	4	0	4	10	11	21	322	207	529	297	134	431	292	175	467	-2	-2	-2	-2	-2	-2	1299	4	3	7	16	6	22	258	162	420	241	135	376	279	195	474	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	5194	14	5	19	41	31	70	1202	677	1879	1139	514	1653	991	579	1570	-2	-2	-2	-2	-2	-2	3387	1806	46377	43850	42754	41039	174020	627	6341	27397	24461	115194	-2	-2	2.8	2.6	3.4	3.2	3.0	3.0	1.1	6.9	6.8	1.4	-2.0	-2.0	34495	-1	-1	95	-1	-1	1324	-1	-1	4063	-1	-1	4226	-1	-1	24787	-2	-2	-2	-2	-2	-2	45422	44588	45928	155	1496	7321	6655	30302	75.1	61.3	88.5	55.5	63.5	81.8	321	0	1	1	2	0	2	64	6	70	121	8	129	103	16	119	-2	-2	-2	-2	-2	-2	5
10	2009-10	Delaware	546	0	3	3	11	5	16	46	28	74	146	87	233	120	100	220	-2	-2	-2	-2	-2	-2	386	3	3	6	5	5	10	20	16	36	92	71	163	99	72	171	-2	-2	-2	-2	-2	-2	299	0	3	3	7	4	11	11	19	30	69	45	114	78	63	141	-2	-2	-2	-2	-2	-2	288	0	3	3	3	3	6	10	10	20	73	46	119	78	62	140	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	1519	5	8	14	25	17	43	87	73	160	380	249	629	375	297	672	-2	-2	-2	-2	-2	-2	872	644	11726	10321	8727	8317	39091	136	1324	3386	12825	21420	-2	-2	4.7	3.7	3.4	3.5	3.9	10.3	3.2	4.7	4.9	3.1	-2.0	-2.0	8133	12	14	26	152	157	309	292	302	594	1159	1348	2507	2270	2427	4697	-2	-2	-2	-2	-2	-2	7770	8496	10768	27	306	882	3674	5879	75.5	96.3	100.0	67.3	68.2	79.9	163	0	0	0	1	5	6	5	4	9	34	25	59	51	38	89	-2	-2	-2	-2	-2	-2	5
11	2009-10	District of Columbia	501	0	0	0	4	0	4	16	35	51	222	211	433	7	6	13	-2	-2	-2	-2	-2	-2	262	0	0	0	0	0	0	13	11	24	117	117	234	0	4	4	-2	-2	-2	-2	-2	-2	153	0	0	0	2	0	2	11	7	18	72	57	129	4	0	4	-2	-2	-2	-2	-2	-2	133	0	0	0	0	3	3	18	10	28	49	48	97	3	2	5	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	1240	0	0	0	9	4	13	70	77	147	538	507	1045	15	12	27	-2	-2	-2	-2	-2	-2	632	600	6181	4431	3684	3301	17712	11	240	1769	15138	554	-2	-2	8.1	5.9	4.2	4.0	7.0	0.0	5.4	8.3	6.9	4.9	-2.0	-2.0	3602	2	0	2	37	28	65	147	162	309	1394	1703	3097	67	62	129	-2	-2	-2	-2	-2	-2	3294	3910	6009	2	82	528	5250	147	59.9	100.0	79.3	58.5	59.0	87.8	183	0	0	0	0	1	1	2	5	7	55	120	175	0	0	0	-2	-2	-2	-2	-2	-2	5
12	2009-10	Florida	4189	10	8	18	18	14	32	804	518	1322	915	622	1537	743	462	1205	-2	-2	-2	-2	-2	-2	4348	10	3	13	22	12	34	776	506	1282	941	612	1553	834	558	1392	-2	-2	-2	-2	-2	-2	4678	10	12	22	27	19	46	719	590	1309	965	665	1630	871	709	1580	-2	-2	-2	-2	-2	-2	4816	6	7	13	22	30	52	899	586	1485	888	702	1590	923	688	1611	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	18031	36	30	69	89	75	164	3198	2200	5398	3709	2601	6310	3371	2417	5788	-2	-2	-2	-2	-2	-2	10403	7323	219705	199162	192433	172321	783621	2600	20417	191811	181656	367246	-2	-2	1.9	2.2	2.4	2.8	2.3	2.7	0.8	2.8	3.5	1.6	-2.0	-2.0	156130	255	247	502	2279	2261	4540	17505	18892	36397	15775	17973	33748	38280	39095	77375	-2	-2	-2	-2	-2	-2	148188	156936	220608	643	4907	51181	53077	107038	70.8	78.1	92.5	71.1	63.6	72.3	6575	10	9	19	89	77	166	1106	1274	2380	1318	1548	2866	513	545	1058	-2	-2	-2	-2	-2	-2	5
