SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR13	ARRASTE1	ARRATE5	ARRAE81Z	ARRATE10	ARRASTE6	ARRATLEIZ	ARRASTE4	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR13	IARRASTE1	IARRATE5	IARRAE81Z	IARRATE10	IARRASTE6	IARRATLEIZ	IARRASTE4
2014	01	AL	Alabama	-2	-2	1128860063	621382410	6131559	1033208	0	7194	14906245	118234517	205076541	383800017	1135528	0	2479526880	13210679	4065545836	15836540	793443778	410680	28958691	838649689	624416688	7396933084	2495972800	929191400	138777988	2152881	529118	275876352	10687418	15993202	3857964623	1775677776	243255956	111331956	47926151	40357368	226100828	171431775	74730008	288433065	156176379	158214130	66816723	1141902908	81622659	58264551	22792361	103065947	75783140	98611772	23836636	463977066	41437252	41016781	23504185	13113010	145605147	37373959	41409020	343459354	39979179	12863337	3234679	10967285	262439680	57489655	12635380	399609195	565006	285716	174053	100410	5965066	40407376	2416218	49913845	3437325	3567765	51615963	1772054	107544	33090	3023102	63556843	392577243	287144209	175877196	417351361	640111890	351722606	147720861	2412505366	145194121	87630929	12229387	226975503	10467353	329404	472359344	0	0	0	0	0	0	0	472359344	0	0	0	0	0	0	0	0	0	0	6742829333	467940866	47612652	3682994	519236512	135728830	226398563	362127393	4477212	95212	2515920	52071403	0	63193061	120536	117780384	122580010	7455607805	196006651	22065850	0	0	548650646	6194178687	706566	-2	706566	8767	746204	805460	1404270	17206	0	15000	107591	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2014	02	AK	Alaska	-2	-2	295232764	161453827	142222	159692	0	0	3221089	8932226	10326863	50286714	0	0	529595705	0	1835601093	32810160	148622809	3001387	127727476	312161832	0	2677358630	688001845	539442259	55659947	59696	159692	57805708	5871127	10160886	1351130341	-1	-1	-1	-1	-1	96940137	48454863	14005156	81292067	74801750	6811096	37917752	360222821	77543987	35570102	10260232	63090873	57286000	5165181	26668430	275584805	18022929	69112348	6937706	4568992	57549579	59679885	17218064	233089503	5325530	10610287	635622	1611422	91305665	1949716	2960109	114398351	193394	853393	33757	218808	4075462	756466	1624483	7755763	783043	1060102	1624263	639142	90056	29534	1060181	5286321	198615626	164807702	33462979	151202496	281033050	73635412	85824536	988581801	20350716	12732245	4196572	31270966	188517	68253	68618752	1236251	717377	2801231	4913023	31306	1455	9669337	78288089	0	0	0	0	0	0	0	0	0	0	2418000231	193273290	53356653	8656825	255286768	37498016	72525264	110023280	11293022	45119	0	326659	0	0	12829	326659	75918139	2698811341	46887848	0	0	0	66289159	2351711072	119381	119381	-2	19699	130944	20946	46923	0	0	0	0	0	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2014	04	AZ	Arizona	2979308590	-2	-2	66772046	5748335	18493579	124819	79924	13162884	98410009	130326462	605113163	603996	0	3899570304	273930951	4217359201	3929267	1024626332	19960534	155051181	1203567314	800298278	9594427770	3039539648	915571127	272886252	1580375	14626588	193208978	135513686	27304275	4450090655	2013800192	324454073	60840067	130096980	76121748	368473206	263239045	65358313	312701941	273761249	172125797	164373638	1620033189	109585814	74238850	20983241	88328621	96320114	63046626	52293332	504796598	96025237	54987233	53740881	27873605	379163626	66287547	107967083	786045212	12102840	15071670	2386627	7043748	264967718	68142191	10350766	380065560	2852317	26596286	3443497	2841436	42310508	51934288	26945893	156924225	7193484	1686158	4652277	7503775	6676210	1276128	16386141	45374173	593380581	409222956	147121339	443451690	1020888917	370878289	351370960	3336314732	112448527	37482978	73404035	207671629	13617244	1684427	432691596	455671	131393	237948	598342	19122	18583	1441937	434133533	0	0	0	0	0	0	0	0	0	0	8220538920	433191930	195295621	32135949	660623500	216348485	519951098	736299583	44391541	900460	0	3071325	1324991	0	88284	4396316	534494591	9237013298	301998583	0	0	0	537212204	7683326716	987171	987171	-2	7783	1102445	0	0	0	0	0	0	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	R	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2014	05	AR	Arkansas	1619649401	1223591	-2	11117198	10086128	2445184	129784	114660	7067856	49842606	89847402	82624742	439489	159330	1872187527	4078292	2665329194	31790940	530588332	0	29867085	592246357	426454451	5133841370	1818164198	527026030	107511755	11400804	6200968	198566317	15149327	20293025	2682962129	1170635549	185392055	87787443	156120774	34136677	163917857	214603838	65673073	184265949	142413079	88952296	64896620	924722712	46269312	58163473	19585917	52530805	45457628	27373999	19445790	268826924	31653884	72713715	20047381	4061102	146758706	25897708	36515299	337647795	5728453	50312673	4157076	3852326	138864506	45405077	18122386	266442497	539873	11793430	822273	549230	8296001	23982235	6744016	52727058	440904	2922810	9459470	611362	2263513	247950	3191910	19137919	248010410	398716509	118922917	245321544	475757432	187877030	142172005	1816777847	88625332	29405999	12184780	142486552	3625126	412703	273115366	958033	228997	215376	3760229	36704	56452	5219087	278334453	0	0	0	0	0	0	0	0	0	0	4778074429	297559717	53700774	5155331	356415822	129095063	156170091	285265154	15246919	68784	0	12537362	0	0	148647	12537362	130611751	5234030178	153633737	0	0	0	304138476	4473935953	449815	449815	-2	9946	489979	1175969	4031513	0	72883	0	0	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2014	06	CA	California	18407152429	933627693	168400	-2	1117595	371734184	14838833	15353580	216681505	380278088	0	3153340199	0	0	23107204742	0	39293076276	398930394	6285872293	15453740	242383350	6942639777	7757958025	69342920795	23880538763	8311543532	1763556029	801829301	498282949	1575298228	40937309	6268868	36339034721	17076582010	2946548892	144846567	696475152	267825178	2145838527	2097707942	289462495	2739660815	2292730308	539532778	1417018861	11521951726	746671095	728980598	116781204	998760717	1042932542	250083447	613234722	4497444325	343901438	563154955	175508549	194410463	1256869515	474890465	541214145	3549949530	41278065	196414435	11885270	70102669	1721254302	163921821	127667439	2332524001	1307923	10993506	578546	2734666	79632358	68351834	73394566	236993399	363862	2915669	12720820	2134009	236575	94504	8721847	27187286	3278052987	3589173599	606358338	4005068673	6314023242	1428523015	2707857014	21929056868	793653981	368452717	105310108	1352968268	27359779	345793	2620730867	88639048	36651842	21764752	14710920	1384441	304685	162071247	2782802114	0	0	0	0	0	0	0	0	0	0	61050893703	5428148366	182676093	198734728	5809559187	2542479721	2507073289	5049553010	310371799	308068	0	406766527	0	0	865733	406766527	689259550	67885439945	1452537298	290241394	0	0	2139013208	58911880495	6048363	6048363	-2	9740	6312623	22075494	37624403	402380	166270	0	29240684	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2014	08	CO	Colorado	3672756482	26748535	-2	-2	84675732	5925796	9259489	275543	17381093	87944995	166780657	429795311	4822972	2320161	4502485427	19655591	4028316027	104938442	571921156	0	14132193	690991791	228744720	9241448836	3155519916	857531475	116455142	52440281	9179381	279865933	60328124	70531534	4532344281	2280639722	361673751	110378187	118872953	53549030	272502663	281886896	55064944	410868016	263476527	135765255	208281356	1627845657	73163995	69382546	14227488	104977834	79865179	43905445	59577937	445100424	30149451	64764219	45674114	20811581	177764006	27926523	262470619	629560513	8070461	37382772	3824052	17409347	203209714	31260758	45920492	347077596	3071991	13880234	2172800	3028636	13270555	18311260	37408904	91144380	952403	2764180	5542641	2023360	1051906	147491	6422789	18904770	384838973	456180613	124333239	556090138	725367332	239005472	582673193	3068488960	92489755	28576188	21134656	139665576	5805067	1448060	283314235	25223386	6967827	3180748	3469804	1618457	1329397	40171162	323485397	0	0	0	0	0	0	0	0	0	0	7924318638	629868588	110661131	38882493	779412212	443465118	512777754	956242872	49461790	404689	0	16564386	0	0	715511	16564386	309559852	8929773254	152900332	445876	0	0	509150214	7415168424	798520	-2	798520	9286	876999	425946	8049967	726139	340346	0	14477	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2014	09	CT	Connecticut	-2	-2	5977491223	-2	4462890	248150007	28820	12641571	136765	86432631	0	62444732	0	702598	6131699659	0	4418595036	45485695	404640067	0	17271339	467397101	839468962	11017691796	3768383556	1807916684	219747649	458223300	57090958	124376827	66283401	6227977	6384875993	2360365188	407863660	45891310	146799992	-1	388719411	152748170	101567026	374781168	306495056	26076245	111690090	1462077166	189249138	71485399	53760331	179054873	156038643	14848096	61166016	725602496	44548881	41740141	49393081	21515250	260599947	438328161	53510479	909635940	5858075	21632930	4063770	8709455	173693609	20745780	5773466	240477085	2583639	18184651	3654363	2262477	32017372	2544837	9474256	70721595	513042	1425194	4246237	2096208	5369315	344417	7525117	21519530	628888547	289031834	213030445	586156954	902196570	500342699	239665168	3359312217	60668164	46810675	22949819	91000511	4134987	2247595	223676764	49470717	12964812	12637811	5564845	752646	1935396	82573581	306250345	0	0	0	0	0	0	26201842	0	0	0	10050438555	504917961	65013855	28876171	598807987	122856109	306383866	429239975	52052903	655687	30125698	40829829	0	0	0	70955527	236438342	10914803288	82560427	24832478	0	0	199019844	9851418711	528163	-2	528163	18652	546200	594544	594544	0	175457	0	594544	90222	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	A	A	A	R	R	A	A	A	T	R	R	R	R	A	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	A	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	A	T	T	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2014	10	DE	Delaware	536820181	-2	-2	-2	0	84133203	0	0	1738541	13316088	1043102	67701372	0	0	620619284	0	1169017318	7901045	172257615	0	202200	180360860	162599465	1969997462	686840087	347213902	10797303	9294473	58340732	45641192	3143095	14631006	1114417963	449037801	126548986	14515017	23320964	7229099	33788871	22933166	13769512	72189243	56521444	21314738	35369245	255886219	16948990	11408236	6687242	36570543	28599087	10038820	20258058	130510976	30897925	483009	8452634	2504566	105774018	62867121	19021906	230001179	3226758	540436	1955908	608726	9947450	4589211	97017	20965506	4196476	0	4535	18609	798450	2831534	0	7849604	103387	8267	161466	63617	1061403	1688	46903	1446731	84965931	35373114	31026762	111936695	201903402	98811578	74793129	638810611	25504849	4688875	4501208	28086975	1423186	372748	63154655	0	0	0	0	0	0	0	63154655	0	0	0	0	0	0	1836855	0	0	0	1816383229	167982515	1252093	1481116	170715724	24476550	44401625	68878175	3045618	0	610391	23190945	0	22389674	0	46191010	15149094	2048751466	24314268	20630458	0	0	59303916	1757079313	127887	-2	127887	13739	131687	0	0	0	0	0	0	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2014	11	DC	District of Columbia	-2	-2	636589696	1245782324	507426	0	216327	0	1030004	2286722	6350072	66941542	2585	2476006	1962182704	0	-2	44311921	162758768	0	106653	207177342	40191873	2169360046	593208476	114564712	55898516	77413000	95347	20738263	16384862	6940217	868763184	429557259	118872220	2288737	12351681	3056910	54099616	37849330	32420128	90263867	47619013	58000199	20725740	340977893	8810396	5048931	6442876	15189798	10201537	15412543	3917757	65023838	21270900	22723924	71270570	8868124	66277257	9319258	11448632	211178665	2704100	2805487	895822	2163738	7396408	722904	2470706	19159165	851634	820219	446271	2253538	3970349	349000	334486	9025497	1153045	993517	6797509	3935983	20374474	12716227	1769327	47740082	88038057	69421189	117826905	120421510	151868689	96171131	40332162	684079643	3324578	615492	43359249	2073982	135393	2792377	52165678	45000	8550	279370	0	0	2800892	3133812	55299490	0	0	0	0	0	0	0	0	0	0	1608142317	443853393	493852	24729093	469076338	46481419	110429913	156911332	931598	0	0	32091747	0	2152400	1261764	34244147	52030461	2139201916	34326034	3989287	931169	227610	51313238	1556829079	74998	-2	74998	20758	78153	5395845	6309136	0	0	0	4550499	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2014	12	FL	Florida	10198864981	508214126	-2	-2	1405197	0	11197629	4781681	47139106	251330893	679982280	553959277	1635637	0	12253729126	0	10460926043	240526219	2797298429	74204916	70404895	3182434459	906530519	25897089628	8956541006	2659519618	2688847457	305601	0	540299202	77263531	119795772	14965308656	5518187991	1695114286	207931798	334448348	194694331	756776438	987668317	79826755	1011077789	810176823	460481589	338000094	4444007805	226978240	274654519	28821751	298173722	314759097	193071465	104563850	1441022644	64934901	153000200	33589634	14451267	601577200	110914394	153199247	1131666843	14651957	78624866	2519145	13760714	700145061	192582769	21754471	1024038983	5500690	7821860	1124317	6915153	12597183	5029202	3227877	42216282	2712724	21005645	73804483	2816025	12758220	18114289	7975510	139186896	1066054260	1514953547	218561768	1340279517	2439416401	975164506	625493172	8179923171	324756304	151488121	113438827	596344621	32577948	32557759	1218585632	0	0	0	0	0	0	0	1218585632	0	0	0	0	0	0	0	0	0	0	24363817459	949229498	73058199	292290592	1314578289	775669999	798118175	1573788174	263941634	1414463	0	306298011	0	0	0	306298011	518821015	26402107617	577470593	216911943	0	0	1739934172	22623883287	2607281	2607281	-2	8677	2720744	54959337	141992415	220867	6512623	41404472	13618078	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
