SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR14	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR14
2015	01	AL	Alabama	-2	-2	1139422482	637522848	6512724	1158700	0	3948	14693885	103326091	210088802	336586732	1147756	0	2449301320	22343132	4129101289	14391237	798371016	310914	21938698	835011865	592412957	7435757606	2486747005	964905306	144099708	1950736	608771	257225018	14431585	17249681	3872177454	1767555715	242622066	113763360	45910915	31228501	231578278	170644341	75852159	290570578	155552006	159784138	67801246	1151782746	86853716	59790816	23436315	107821729	79422569	104992585	24877196	487194926	44429540	42030841	24907493	12895537	147925790	37986308	40875194	351050703	42015638	12727960	3186049	9374863	261810818	45992033	12964885	388072246	944845	629939	398553	103223	6711346	37918965	1227743	47934614	4101385	4442999	55815266	1722698	146289	37664	5278835	71545136	408978557	289636957	183197282	422385405	644857472	348792728	151797356	2449645757	145997658	92983580	12630285	232610061	9816532	422012	484643596	0	0	0	0	0	0	0	484643596	0	0	0	0	0	0	0	0	0	0	6806466807	420315571	36523812	2968924	459808307	158438242	294718009	453156251	4636122	0	2468075	47995250	0	64801201	63631	115264526	111739098	7458422124	199026356	16195017	0	0	536296746	6270170061	702430	-2	702430	8926	744164	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2015	02	AK	Alaska	-2	-2	310186961	172270689	164290	119447	0	0	1424295	8090889	10655993	47429676	0	0	550222793	0	2037615859	36281064	157496466	2086140	151835634	347699304	0	2935537956	693933408	666737804	57104921	89364	119447	60744131	7471342	10694573	1489304201	-1	-1	-1	-1	-1	96463387	47885026	13961921	82791280	74879223	6427965	39113385	361522187	96106937	42439633	12326640	77597218	69530505	5545616	32147505	335694054	20861625	79889416	7541076	4523395	59144273	61451110	17910192	251321087	4579231	11406227	750529	1953950	95142321	1642634	4948416	120423308	276228	698867	268485	78107	3603425	570775	1724348	7220235	756429	955543	1511084	707632	117136	42246	1653056	5743126	218767609	182575845	36091250	167573475	298813458	75109571	95772554	1074703762	21105724	13325515	5157124	34801390	268025	51750	74441503	1346301	961412	3048094	4745827	26320	1060	10102694	84544197	0	0	0	0	0	0	0	0	0	0	2648552160	222398083	41187439	4801877	268387399	39404128	78856221	118260349	8294489	9927	0	274362	0	0	8258	274362	60993423	2940512517	46889375	0	0	0	65800547	2582751613	119515	119515	-2	21610	131176	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2015	04	AZ	Arizona	3054361828	-2	-2	63024833	6082210	18639524	208649	174863	10272394	94371543	137998814	648084850	584511	0	4014989632	282232976	4345426677	7164097	1070537216	1308921	198010368	1277020602	983366962	9919669887	3040265275	916617118	297427404	1706089	16669940	199390837	166297334	32098840	4487505563	2009716311	312821034	68289915	124566096	69898700	382513471	277922185	67530014	324026788	270221610	171672046	175646483	1669532597	114648924	74068863	21409353	89319959	94646149	63219079	59669292	516981619	102439108	58456388	53817608	25876770	389951673	72169289	121246494	823957330	13989156	15006414	2421517	7610390	267333165	58212851	12111247	376684740	2636132	25622429	3916965	2530063	42760819	49441522	24152295	151060225	7306592	1873577	6376377	6241265	6577370	943034	13129351	42447566	620897251	427327427	151554869	453075172	1028729967	366216299	381802867	3429603852	114267376	38005661	81726140	217448780	15333453	1240009	452687966	452837	127151	132338	347442	6989	26846	1086614	453774580	0	0	0	0	0	0	0	0	0	0	8370883995	453744602	171328261	25932306	651005169	237139504	532919222	770058726	44667212	2157878	0	2984684	1037351	0	101989	4022035	532218435	9405536279	294130666	0	0	0	533376393	7837507602	993460	993460	-2	7889	1102856	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R	A
2015	05	AR	Arkansas	1697031860	1043096	-2	5812053	9756369	2438841	129729	143241	7585429	50177066	90985247	88574927	24264	143660	1951263700	3164646	2720256888	38614750	553911159	0	16032680	608558589	261349866	5283243823	1829292498	518679147	121266839	11549491	7143984	197296530	18502838	23618700	2701703205	1173165809	189977606	88268863	157845503	19774641	166892740	216647320	66278350	188773584	142129126	90455316	65866473	937042909	45901935	57417392	19207624	52636340	44585244	25970803	19241995	264961333	33996459	72851350	21309512	4349353	153067654	25374358	39946955	350895641	6325137	55831503	4847300	4093911	142275499	38041763	17560358	268975471	606580	13288412	1002644	412164	7739973	25111543	6557614	54718930	387278	2752569	9560531	664098	2159305	560098	3242580	19326459	253503549	405500134	121203317	250517286	484216828	180402338	145858361	1841201813	86243235	27578118	20739214	129716543	2655251	548826	264825936	1003679	239733	173023	4102103	4807	71122	5589660	270415596	0	0	0	0	0	0	0	0	0	0	4813320614	385929063	43814570	10597107	440340740	123314793	120197410	243512203	16891748	171104	0	12951519	0	0	90134	12951519	130554741	5359647685	160010693	0	0	0	311227028	4502093586	447483	-2	447483	10061	490917	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2015	06	CA	California	19769831853	940464311	168400	-2	2270201	391727105	15270674	11042495	194122929	365192328	0	3434148173	0	0	24721468869	0	42525283413	388995176	6482142701	15024332	262712854	7148875063	9636254168	74395627345	25433551906	8958203734	1959137200	819726436	516483685	2035672821	57254826	7665134	39213957231	18206082989	3115304271	150479177	674698440	456842514	2387050312	2359948383	310026520	2954133927	2433904305	567829219	1549644683	12562537349	846005286	822585665	123734216	1081457971	1097554506	258564299	660536309	4890438252	362292088	628419701	178372574	199690219	1434523087	496659018	589611890	3889568577	45425907	211206812	12630629	75613993	1813039407	150127092	141134949	2449178789	1059592	15349538	388283	3901230	93624775	70419428	74470207	259213053	382282	3503486	13083353	2423949	235741	99138	8795786	28523735	3641155875	4025664047	637847292	4313320059	6779257046	1473278766	2949723617	23820246702	847483914	387273624	101959666	1403957667	30091833	468412	2741143283	94191530	46451966	23377628	14290908	1740587	286744	178598776	2919742059	0	0	0	0	0	0	0	0	0	0	65953945992	5593042487	177568025	296314617	6066925129	2561504481	3131273159	5692777640	328789893	518399	0	422377413	0	0	915766	422377413	823617106	73121772891	1520511512	314739763	0	0	2217984478	63735961514	6037651	6037651	-2	10556	6312161	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2015	08	CO	Colorado	3726101230	24501463	-2	-2	89119453	5679877	9740139	59714	12216950	90065312	171245369	440890925	5307698	2705354	4571893893	16775720	4452824050	118857303	587774308	0	16399897	723031508	734639604	9764525171	3222468457	898454150	117985462	57447437	9412561	300310096	62236071	69310403	4665976005	2340420159	378532596	115293228	122402274	66952256	292151378	315493816	55658183	428644782	270806241	139691186	242233393	1744678979	80644193	76984554	14700080	112371909	83549060	45630366	61362564	475242726	32804353	74093857	53676718	23405095	214902022	27009036	262302467	688193548	10224411	30026883	5358274	16658027	198286465	26302651	35610647	322467358	3065369	12970777	7939408	4342014	19419727	20054617	36964922	104756834	969930	3775672	5979533	3030374	171340	52228	7722210	21701287	416794265	500374782	135372788	584110187	767715128	238685467	609231281	3252283898	95383562	30003652	20993695	147938463	5108124	1118748	295438120	29717183	8465551	2557839	4139382	1062589	1883208	46763163	342201283	0	0	0	0	0	0	0	0	0	0	8260461186	615811038	100920932	37342408	754074378	426709393	1178716350	1605425743	54840312	547034	0	19817559	0	0	639656	19817559	312613648	9263543743	157665674	354301	0	0	526203300	7734257886	798176	-2	798176	9690	889006	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2015	09	CT	Connecticut	-2	-2	6078199060	-2	4737027	268278113	29670	12874984	144596	89569334	0	60705926	0	632762	6234018375	0	4661930178	58653991	401805350	0	20332097	480791438	1062004499	11376739991	3833099173	1862291672	207768630	501316108	55036960	114554982	63447729	7472773	6526503338	2378853838	407677098	47832685	148053476	-1	399365443	165601902	108783283	381838498	314364993	24860711	124629212	1519444042	197065070	77702311	58784663	184796477	164076575	14365735	70078321	766869152	48180555	46706106	51445905	20913885	254165790	453880037	56334978	931627256	7043844	22195400	4190210	9394221	173659905	19165930	7024351	242673861	2308154	16567400	2310481	3734181	36854109	3641180	8330772	73746277	421355	1631415	4468092	2137246	3480913	250082	5770908	18160011	652076267	313837134	227672153	599080327	909748176	512522495	263837770	3478774322	62217649	48014943	25179321	93450784	4139658	2297356	231160053	51223619	13379412	12785527	5645631	940572	2039134	85073323	316233376	0	0	0	0	0	0	32654042	0	0	0	10321511036	624401943	71348230	38603318	734353491	121322879	300658579	421981458	53352303	840005	31358426	40985153	0	0	0	72343579	253065789	11324674650	83854910	21657450	0	0	200481153	10121029883	523101	-2	523101	19348	542678	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	A	A	A	R	R	A	A	A	T	R	R	R	R	A	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	A	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	A	T	T	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R	R
2015	10	DE	Delaware	568392986	-2	-2	-2	0	79887177	0	0	2116686	14009225	983635	111998871	0	0	697501403	0	1199263598	8166923	172756725	0	198267	181121915	148728915	2077886916	705382723	352172331	13329978	10144274	72224727	49109668	3610526	19346027	1149485001	460406751	126661806	14717034	22880935	5224930	32451897	23607912	14145823	77849316	57100179	16112430	44760777	266028334	16209994	11671071	6711978	39056902	28580619	9943192	23622554	135796310	31484783	303462	5410009	38270	100359176	61343267	26945654	225884621	802983	619222	2327579	38212	10583160	3922655	104766	18398577	2876542	0	0	0	1750656	3302410	0	7929608	102756	1485	2500	0	125	0	336814	443680	81052413	36203152	28597889	116982700	196623259	91321544	95770565	646551522	26127167	4803284	4611037	28772297	1457912	381843	64695628	0	0	0	0	0	0	0	64695628	0	0	0	0	0	0	1369686	0	0	0	1860732151	98562023	3606941	4455808	106624772	22000118	46523011	68523129	2165180	0	724289	47749033	0	0	0	48473322	21060795	2030993471	25437949	20819227	0	0	61250036	1799482115	127834	-2	127834	14077	134042	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2015	11	DC	District of Columbia	-2	-2	653709028	1301704558	0	0	265845	0	0	1926257	5696063	69842347	6893	235059	2033386050	0	-2	57345038	160557661	0	141253	218043952	29270708	2251430002	623929466	130180240	41453228	74339721	46041	22666832	7766410	8338838	900908325	388992005	109053133	4991452	11674378	3924854	49377145	55721356	41034443	83987475	44310726	62612560	21588569	358632274	8652766	7181768	7330435	14056842	9580812	16187974	4014936	67005533	18398023	20211638	83445886	2803571	42992639	17730428	12279367	197861552	1447141	6054721	1699725	3374886	8095077	13737260	2690492	37099302	870090	1369968	4351318	1010561	4091856	259000	246131	12198924	845867	899293	6175580	5029699	24181628	5999517	1661321	44792905	78720942	90068776	139686069	109252473	129160882	116267739	42234685	705391566	2874320	547952	49480144	2064353	140995	4071355	59038124	6350	2103	477830	27583	0	2675789	3189655	62227779	0	0	0	0	0	0	0	0	0	0	1668527670	383565994	23320	23253891	406843205	50659727	149436291	200096018	1438430	0	0	38499632	0	5262027	787243	43761659	44170783	2141464536	32866422	4660758	1147478	0	46804775	1621722895	77565	-2	77565	20908	80958	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2015	12	FL	Florida	10758296537	567492768	-2	-2	1404666	0	11074601	5878762	41190873	219575673	685372720	649424023	1446889	0	12935278750	0	10661587746	257822653	2775696371	84509621	74478865	3192507510	1208963285	26789374006	9093724054	2711822939	2930569481	299734	0	579076754	81168351	104553628	15420046590	5548574638	1723287941	212021169	339009182	202271080	780410500	1021543546	84913011	1045799544	823633082	480987490	354614118	4591901291	235003580	284072014	30827758	310805337	315026391	199857902	110964741	1486557723	64935486	164882815	33524027	15946916	629125232	112031796	149287963	1169734235	16142308	125727623	2890683	13627817	716350258	165914501	24558189	1065211379	5784119	8529986	1194961	7309601	13131857	5123077	3419622	44493223	2487894	23521840	75208356	3193315	11631916	14903401	9749292	140696014	1098979768	1619747838	227363835	1389372929	2495766879	973695090	649174303	8454100642	332480012	154351628	118794902	611067880	31848854	32706785	1249401207	0	0	0	0	0	0	0	1249401207	0	0	0	0	0	0	0	0	0	0	25123548439	1028743260	96010706	397935546	1522689512	661948782	886287375	1548236157	268383734	1461920	0	298391375	0	0	0	298391375	652918600	27371985408	776833705	16892518	0	0	1712600772	23410947667	2702807	2702807	-2	8662	2756944	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R
