SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR17	CE1	CE2	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR17	ICE1	ICE2
2018	01	AL	Alabama	-2	-2	1245450420	679013475	7281770	723171	0	31012	27096787	102538802	221211301	370231076	769385	0	2653593016	39412323	4432977309	13743073	843506551	437770	28588149	886275543	434564283	8012258191	2602756794	1007892912	184648253	2791050	587818	287735160	5062233	21090682	4106914851	1846453679	251736268	123223157	48803312	40197818	256565004	171364004	82957872	311120472	163571987	176513816	73525456	1235618611	95756441	59495953	25612269	114781823	82026875	112048726	26945308	516667395	53090375	43732637	25286459	12849974	176479002	43362991	50149419	404950857	51083310	13407225	4624450	9936921	263065403	47211049	13682525	403010883	1499425	79905	256609	106894	7789388	74176519	1116371	85025111	5069968	5856041	47912510	1816224	392562	46020	4127206	65220531	461565098	293855860	186393560	450505414	685535829	379182602	168429914	2625468277	150526743	93691923	14026732	222144258	7645235	1302298	481691954	0	0	0	0	0	0	0	481691954	0	0	0	0	0	0	0	0	0	0	7214075082	507502954	44389285	1676514	553568753	175986081	232349824	408335905	9168976	9137	5206278	49585095	0	67150163	22082	121941536	143829597	7996518145	225653570	19442127	0	0	576896955	6637178127	695421	-2	695421	9544	742444	5707973189	929204938	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2018	02	AK	Alaska	-2	-2	318773947	178019555	309495	18180	0	0	1106433	7848045	9853126	32965934	0	0	548876535	0	1579483119	37525757	194285139	2666593	166763665	401241154	0	2529600808	716027215	410908888	61475428	612125	18180	61584604	3605076	11052687	1261660947	-1	-1	-1	-1	-1	97072428	47887558	15345593	87519728	75946025	6321241	41473850	371566423	57259322	26054867	8703634	51913041	53642704	5639642	25934937	229148147	23039651	104634931	7795938	3922650	64394473	67238397	20424028	291450068	3396674	10456392	1056326	1791564	86411750	2549071	2786849	108448626	110941	678437	107810	28589	2540060	508757	1518063	5492657	460906	1791635	1654754	249314	184920	38147	1992123	6371799	181228981	190825383	34556245	145396297	280579872	81786498	92611787	1006985063	21894160	14330148	5866309	34577818	263192	59424	76727859	1475706	1148849	3259745	3995982	573939	6748	9887030	86614889	0	0	0	0	0	0	0	0	0	0	2355260899	85675336	35006765	3448415	124130516	34359195	78870643	113229838	7242207	56104	0	446436	0	0	0	446436	48446148	2497071026	53961287	0	0	0	71971953	2283288946	120792	120792	-2	18903	132872	2142892519	212368380	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2018	04	AZ	Arizona	3284175443	-2	-2	64758525	8162374	18637688	338410	1215	27687399	95607520	149529290	376656671	612814	43619	4007572065	291235980	5013106961	4547516	1107431915	2439827	208095260	1322514518	1032380870	10634429524	3346718582	1006079274	344086534	3457420	16569403	208210531	159724782	40728406	4949280747	2189474330	355786805	75102171	136092844	79044850	429369836	276060197	83713414	360177342	288263963	179169519	174616000	1791370271	129763986	80279955	39910404	100923670	103605360	67863725	60695618	583042718	122498816	70091123	57085592	32837041	438873379	79072321	151765508	952223780	15203291	15592713	3388537	9826781	272362016	53020867	13363523	382757728	2522051	23360919	3428964	2271687	50532402	64331916	22120677	168568616	10690450	2716665	5645415	5777107	3788391	1280659	15800977	45699664	707526379	444740653	189743362	509541941	1106893109	380407091	416241626	3755094161	123230936	41311825	99070546	213149855	17271907	318132	477081294	427283	123226	109665	316233	4845	31005	1007412	478088706	0	0	0	0	0	0	0	0	0	0	9182463614	650398270	356726424	36096472	1043221166	245755271	575601975	821357246	96195746	1310520	0	3806569	529695	0	104024	4336264	739807590	10673201484	276652748	0	0	0	530946775	8651516839	1013799	1013799	-2	8534	1096727	8148974929	1033488684	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	T	R	R	R	R	R	R	R	R	R	R	A	R	R
2018	05	AR	Arkansas	1870183250	1184050	-2	6999130	11777848	6082941	171839	103260	18868232	50408585	95395633	86120564	29514	79461	2141218106	1824137	2987154925	25037274	577918433	0	17468213	620423920	489540598	5750621088	1929131568	544661186	125948862	13702044	6975008	203144227	18095111	22277350	2838865237	1214336508	198286815	89828356	173180180	24324402	177191288	224084853	71520484	199208443	142458192	97153703	70825726	982442689	48591822	58790560	20540841	55288241	44624399	27024193	20442706	275302762	40486184	73876003	21002804	4327940	178617519	29569450	43672277	391552177	6731616	52200306	4119610	4150254	145211127	36532447	17806104	266751464	693018	9527583	811101	285020	11119986	26970197	4941669	54348574	397994	3472973	10064081	724074	2642183	433717	3474573	21209595	273398904	412424695	127247820	263698952	513553420	190713510	156221386	1937258687	76694959	24499310	49576813	112949807	3439240	716219	264437108	33169	7250	85057	3357429	1542	54037	3536942	267974050	0	0	0	0	0	0	0	0	0	0	5044097974	445966211	49714259	16957683	512638153	142017932	160196036	302213968	20876451	229608	0	10422238	1186268	0	44890	11608506	142830907	5665380049	160381203	0	0	0	318244083	4725853891	449341	-2	449341	10517	496085	4422018296	378418617	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2018	06	CA	California	25767787616	1165627311	-2	-2	1301889	461355323	14096754	0	634530402	373265181	0	4221971102	0	0	32178580255	0	51776083565	494751131	6898837326	11914128	270150412	7675652997	9766955222	91630316817	29160238272	12500256398	2360463454	979820210	609055837	2150273759	77208562	13932447	47164984540	19960429181	3598841164	350232705	731721440	557666548	3110619157	2881984311	376494180	3421773026	2923333913	661138253	1890179061	15265521901	1319233484	1201916439	168499704	1469967923	1398318680	322010527	841564110	6721510867	516474456	805037813	224843314	285634399	1581739885	643675271	795410650	4852815788	51505923	207235575	13530486	85030083	2030166519	147241930	160179684	2694890200	1953029	13279577	680808	9790704	100544759	126428210	90269016	342946103	511864	4082587	14890344	3458295	357434	112451	9760091	33173066	4998344884	5100256725	798258028	5265863726	7933916431	1774178432	3697093596	29567911822	955649023	461575339	111697158	1367380247	31350936	595280	2896897047	113556433	55362511	23874671	15819355	2526708	319184	208932154	3105829201	0	0	0	0	0	0	0	0	0	0	79838725563	8040377792	321027888	322621664	8684027344	3004970429	3589567479	6594537908	409950089	627728	0	579945214	0	0	2967761	579945214	1101277350	89970276008	1597200595	399668611	0	0	2385533030	77453192533	6019564	6019564	-2	12867	6304266	73230064473	6608661091	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	I	R	R
2018	08	CO	Colorado	4775137096	15805379	-2	-2	106898375	6419862	8829366	276083	89366227	97473925	194254850	504289986	6033245	2757863	5800846312	24664368	4679046651	95046075	588280842	0	20458878	703785795	329788439	11208343126	3502851630	1086936324	151919691	75185713	11597732	304184308	74593741	66992951	5188070617	2408310717	443458260	126444610	212702793	59803165	373702814	322246890	61893831	507046370	293388306	155224767	249929432	1963432410	116385481	95434237	17712250	150794480	103555527	54811650	81503686	620197311	43401165	77942423	54814037	34382114	260410024	45984172	310921507	827855442	12663249	33347003	4697523	20723793	198714234	20813142	36691241	327650185	3047105	27534673	4357743	4401183	27003226	27439620	35246771	129030321	1386003	3352520	8137471	6509067	92732	149753	14830277	34457823	547538712	532323073	147255112	719455824	856160823	276983484	693876143	3773593171	105224376	35886761	21591392	144346160	4939782	1016154	308064843	30668437	9702819	3302712	4231232	1280679	1867906	49773106	357837949	0	0	0	0	0	0	0	0	0	0	9319501737	1308691203	237031376	86458851	1632181430	543175361	746063114	1289238475	56645769	556261	0	24699822	0	0	302848	24699822	534193859	11243732390	151154744	327051	0	0	567729419	8751772318	824432	-2	824432	10616	910280	8895342178	415822151	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2018	09	CT	Connecticut	-2	-2	6309484557	-2	6099861	295985916	28917	18123135	438082	74810072	0	50504835	0	825800	6442192124	0	4582061085	41527548	438462585	0	14030157	494020290	1046007437	11518273499	3800684263	1979057110	181981375	573699816	72222679	97084498	42672427	5481424	6637988486	2573072721	475889084	18555449	284707956	-1	442327975	190148686	114844376	389425612	321162092	22327460	129760137	1609996338	218731957	104021272	73273973	205961441	189121139	12741993	145692737	949544512	54963602	46337890	42633796	20649263	239837376	478669600	76068497	959160024	6462533	20848994	4855051	7645123	155242412	11642490	9169299	215865902	1538033	22759803	3554237	2728490	19687440	2361815	8518264	61148082	790351	1623928	6647814	1976765	1292478	1476097	10631992	24439425	723276418	362980770	242255010	625658204	906655497	526857640	371322662	3759006201	56194153	57201135	26281965	85130301	3789501	2016791	226824345	48134291	13421306	12175770	5248746	987111	1117859	80097972	306922317	0	0	0	0	0	0	22496218	0	0	0	10703917004	385230240	45166540	22377645	452774425	108367520	329414270	437781790	52843644	1525600	30556532	41094952	0	0	0	71651484	177666906	11391309278	87349614	31117538	0	0	200231802	10503685202	510580	-2	510580	20572	531288	-1	-1	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	A	A	A	R	R	A	A	A	T	R	R	R	R	A	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	A	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	A	T	R	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R
2018	10	DE	Delaware	672326869	-2	-2	-2	0	37581379	0	0	4413337	14374011	1169115	2133155	0	0	694416487	0	1344579439	9033417	172776478	0	276062	182085957	183847205	2221081883	778191998	423578158	16627609	10055849	19326184	55593756	1728155	8860324	1292907694	495769542	136091868	15450824	22167694	5009921	38448342	24202243	14282346	83772084	61428344	18987731	38914713	280035803	20942165	12753821	7532639	45832690	33600948	12344832	20971077	153978172	42420493	558959	7781309	475084	109312436	69713727	24677471	254939479	990144	589350	1755085	9043	11497637	3821610	346230	19009099	1435452	0	0	0	550207	5157528	0	7143187	209278	5821	19284	0	526	98	13401	248408	103010422	38110194	31370663	130088901	215839891	104867998	84922892	708210961	32988001	6064596	5821866	36327725	1840750	482111	81684299	0	0	0	0	0	0	0	81684299	0	0	0	0	0	0	0	0	0	0	2082802954	69981603	55084026	0	125065629	24088339	47884018	71972357	1608909	0	753263	52311378	0	0	0	53064641	65796118	2273254225	29004432	18477283	0	0	63024841	2019778113	127840	-2	127840	15799	136293	-9	-9	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A
2018	11	DC	District of Columbia	-2	-2	783155414	1481141874	0	0	732600	0	5527223	2021446	8324448	60970231	0	347639	2342220875	0	-2	41427408	166888963	0	0	208316371	280038	2550537246	769921471	177774051	53367947	70021295	0	25165487	8460345	21119083	1117369334	450878841	138355677	7068003	16880832	3460142	68150570	40491527	43766216	112628418	51079690	65206320	34090270	415413011	10889877	7968795	7892872	18407239	11095833	18885790	6252205	81392611	10231108	17233571	60118435	3156408	107587333	12801221	11424077	222552153	1193046	1288671	3274909	1590026	5906900	20304441	393339	33951332	1489732	2026494	2636728	1392832	466022	116401	48648	8176857	188624	1190943	37799070	3134469	16589589	5912375	13887482	78702552	90653225	68173507	152851502	138916560	192259345	123110147	66047373	832011659	3134406	582908	52672593	1836123	573891	14160430	72386460	5200	878	21599	26756	0	0	54433	72440893	0	0	0	0	0	0	0	0	0	0	2021821886	395294663	6353076	22255225	423902964	148300783	266018921	414319704	1053740	0	0	13936144	0	0	256993	13936144	46076387	2478182820	35639216	3134772	0	0	50200121	1971621765	82248	-2	82248	23972	87315	1554598406	195511676	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2018	12	FL	Florida	12046097500	891405481	-2	-2	1006968	0	11475309	6049442	134901856	169245065	713104895	903638710	1195008	0	14872070792	0	11812823847	251758200	3009513355	87759977	83291682	3432323214	496466821	30117217853	9695253275	2982061025	3526041922	240166	0	600017788	72600434	135802169	16939416345	5659416617	1886148560	215683443	370538174	207008866	849261067	1066487176	95757311	1123409892	886713766	535455283	380648587	4937733082	267701220	312431400	34580874	343528232	349529470	226569135	121833104	1656173435	81732759	178937943	35095755	14304118	712058256	138096376	187354864	1347580071	16367686	89246399	2290813	14021138	711288658	143300659	18984146	995499499	5221998	7150641	1105304	6428810	11447792	4534003	3079061	38967609	4372458	20558188	87837946	3570680	11475742	15108263	9865523	152788800	1219435190	1667661106	255562699	1498834060	2671065892	1058529716	718686224	9089774887	377667510	175842697	128716411	618538127	40231684	41090301	1341855046	0	0	0	0	0	0	0	1341855046	0	0	0	0	0	0	0	0	0	0	27371046278	1608338873	117869733	450676101	2176884707	653054542	989743684	1642798226	272758411	1218090	0	298713873	0	0	0	298713873	721563651	30272421086	720491022	148686930	0	0	1765205197	25605841081	2717544	2717544	-2	9422	2832424	24066886292	3304159985	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R
